tweet_id,source,rating_numerator,rating_denominator,name,dog_stage,retweet_count,favorite_count,retweeted
892420643555336193,Twitter for iPhone,13,10,Phineas,doggo,8853,39467,False
892177421306343426,Twitter for iPhone,13,10,Tilly,doggo,6514,33819,False
891815181378084864,Twitter for iPhone,12,10,Archie,doggo,4328,25461,False
891689557279858688,Twitter for iPhone,13,10,Darla,doggo,8964,42908,False
891327558926688256,Twitter for iPhone,12,10,Franklin,doggo,9774,41048,False
890971913173991426,Twitter for iPhone,13,10,Jax,doggo,2158,12041,False
890609185150312448,Twitter for iPhone,13,10,Zoey,doggo,4429,28226,False
890240255349198849,Twitter for iPhone,14,10,Cassie,doggo,7711,32467,False
890006608113172480,Twitter for iPhone,13,10,Koda,doggo,7624,31166,False
889880896479866881,Twitter for iPhone,13,10,Bruno,doggo,5156,28268,False
889638837579907072,Twitter for iPhone,12,10,Ted,doggo,4735,27672,False
889531135344209921,Twitter for iPhone,13,10,Stuart,doggo,2321,15359,False
889278841981685760,Twitter for iPhone,13,10,Oliver,doggo,5637,25652,False
888917238123831296,Twitter for iPhone,12,10,Jim,doggo,4709,29611,False
888804989199671297,Twitter for iPhone,13,10,Zeke,doggo,4559,26080,False
888554962724278272,Twitter for iPhone,13,10,Ralphus,doggo,3732,20290,False
888078434458587136,Twitter for iPhone,12,10,Gerald,doggo,3653,22201,False
887705289381826560,Twitter for iPhone,13,10,Jeffrey,doggo,5609,30779,False
887473957103951883,Twitter for iPhone,13,10,Canela,doggo,18781,69871,False
886983233522544640,Twitter for iPhone,13,10,Maya,doggo,8084,35859,False
886736880519319552,Twitter for iPhone,13,10,Mingus,doggo,3443,12306,False
886680336477933568,Twitter for iPhone,13,10,Derek,doggo,4610,22798,False
886366144734445568,Twitter for iPhone,12,10,Roscoe,doggo,3316,21524,False
886258384151887873,Twitter for iPhone,13,10,Waffles,doggo,6523,28469,False
885984800019947520,Twitter for iPhone,12,10,Jimbo,doggo,7097,33382,False
885528943205470208,Twitter for iPhone,13,10,Maisey,doggo,6683,36689,False
884925521741709313,Twitter for iPhone,12,10,Earl,doggo,16439,68152,False
884876753390489601,Twitter for iPhone,13,10,Lola,doggo,6096,28514,False
884562892145688576,Twitter for iPhone,13,10,Kevin,doggo,5100,24765,False
884162670584377345,Twitter for iPhone,12,10,Yogi,doggo,3128,20771,False
883838122936631299,Twitter for iPhone,12,10,Noah,doggo,3586,22349,False
883482846933004288,Twitter for iPhone,5,10,Bella,doggo,10407,46860,False
883360690899218434,Twitter for iPhone,13,10,Grizzwald,doggo,3825,22986,False
882992080364220416,Twitter for iPhone,13,10,Rusty,doggo,4122,24445,False
882762694511734784,Twitter for iPhone,12,10,Gus,doggo,5134,28903,False
882627270321602560,Twitter for iPhone,13,10,Stanley,doggo,6342,28382,False
882268110199369728,Twitter for iPhone,13,10,Alfy,doggo,12118,45880,False
882045870035918850,Twitter for iPhone,13,10,Koko,doggo,5203,29900,False
881906580714921986,Twitter for iPhone,12,10,Rey,doggo,3533,24773,False
881666595344535552,Twitter for iPhone,13,10,Gary,doggo,11099,51522,False
881268444196462592,Twitter for iPhone,12,10,Elliot,doggo,5358,23501,False
880935762899988482,Twitter for iPhone,13,10,Louis,doggo,2886,17346,False
880465832366813184,Twitter for iPhone,12,10,Bella,doggo,6546,29075,False
880221127280381952,Twitter for iPhone,12,10,Jesse,doggo,4436,27640,False
879862464715927552,Twitter for iPhone,13,10,Romeo,doggo,3642,22667,False
879492040517615616,Twitter for iPhone,12,10,Bailey,doggo,3323,23822,False
879415818425184262,Twitter for iPhone,13,10,Duddles,doggo,45849,107956,False
879376492567855104,Twitter for iPhone,12,10,Jack,doggo,3261,17099,False
879050749262655488,Twitter for iPhone,11,10,Steven,doggo,4941,23022,False
879008229531029506,Twitter for iPhone,13,10,Beau,doggo,2812,19317,False
878776093423087618,Twitter for iPhone,13,10,Snoopy,doggo,4319,19763,False
878281511006478336,Twitter for iPhone,13,10,Shadow,doggo,1349,7913,False
878057613040115712,Twitter for iPhone,14,10,Emmy,doggo,7181,42876,False
877736472329191424,Twitter for iPhone,13,10,Aja,doggo,17300,71144,False
877556246731214848,Twitter for iPhone,12,10,Penny,doggo,3994,23258,False
877316821321428993,Twitter for iPhone,13,10,Dante,doggo,5414,27907,False
877201837425926144,Twitter for iPhone,12,10,Nelly,doggo,5880,27755,False
876838120628539392,Twitter for iPhone,12,10,Ginger,doggo,3506,21125,False
876484053909872640,Twitter for iPhone,13,10,Benedict,doggo,2511,19163,False
876120275196170240,Twitter for iPhone,13,10,Venti,doggo,4903,28490,False
875747767867523072,Twitter for iPhone,13,10,Goose,doggo,4497,25773,False
875144289856114688,Twitter for iPhone,13,10,Nugget,doggo,5081,22185,False
874680097055178752,Twitter for iPhone,12,10,Cash,doggo,4875,28439,False
874296783580663808,Twitter for iPhone,13,10,Jed,doggo,4308,26651,False
874012996292530176,Twitter for iPhone,13,10,Sebastian,doggo,11007,35501,False
873213775632977920,Twitter for iPhone,12,10,Sierra,doggo,1667,7467,False
872620804844003328,Twitter for iPhone,13,10,Monkey,doggo,3911,21309,False
872261713294495745,Twitter for iPhone,13,10,Harry,doggo,6649,35085,False
872122724285648897,Twitter for iPhone,12,10,Kody,doggo,8549,35324,False
871879754684805121,Twitter for iPhone,13,10,Lassie,doggo,11918,39090,False
871762521631449091,Twitter for iPhone,12,10,Rover,doggo,3678,20787,False
871515927908634625,Twitter for iPhone,12,10,Napolean,doggo,3628,20730,False
871032628920680449,Twitter for iPhone,13,10,Boomer,doggo,3999,23255,False
870656317836468226,Twitter for iPhone,13,10,Cody,doggo,2817,12819,False
870374049280663552,Twitter for iPhone,13,10,Zoey,doggo,27680,85011,False
870308999962521604,Twitter for iPhone,13,10,Rumble,doggo,4384,22453,False
870063196459192321,Twitter for iPhone,14,10,Clifford,doggo,8840,37771,False
869772420881756160,Twitter for iPhone,13,10,Dewey,doggo,10663,43710,False
869702957897576449,Twitter for iPhone,13,10,Stanley,doggo,6728,29116,False
869596645499047938,Twitter for iPhone,12,10,Scout,doggo,3327,16476,False
869227993411051520,Twitter for iPhone,13,10,Gizmo,doggo,4023,21112,False
868880397819494401,Twitter for iPhone,14,10,Walter,doggo,12518,55098,False
868552278524837888,Twitter for iPhone,12,10,Cooper,doggo,2240,10539,False
867774946302451713,Twitter for iPhone,13,10,Harold,doggo,7788,35179,False
867421006826221569,Twitter for iPhone,12,10,Shikha,doggo,2697,16755,False
866686824827068416,Twitter for iPhone,12,10,Lili,doggo,3727,20070,False
866450705531457537,Twitter for iPhone,13,10,Jamesy,doggo,32883,106827,False
866334964761202691,Twitter for iPhone,12,10,Coco,doggo,15546,54720,False
865718153858494464,Twitter for iPhone,13,10,Boomer,doggo,6008,26640,False
865359393868664832,Twitter for iPhone,13,10,Sammy,doggo,5384,27530,False
865006731092295680,Twitter for iPhone,13,10,Nelly,doggo,8209,29063,False
864279568663928832,Twitter for iPhone,12,10,Meatball,doggo,3266,15195,False
864197398364647424,Twitter for iPhone,13,10,Paisley,doggo,9616,31459,False
863907417377173506,Twitter for iPhone,13,10,Albus,doggo,4441,21477,False
863553081350529029,Twitter for iPhone,13,10,Neptune,doggo,4489,15935,False
863432100342583297,Twitter for iPhone,12,10,Belle,doggo,5664,24829,False
863062471531167744,Twitter for iPhone,13,10,Quinn,doggo,2687,8945,False
862831371563274240,Twitter for iPhone,13,10,Zooey,doggo,5457,20011,False
862722525377298433,Twitter for iPhone,11,10,Dave,doggo,3809,17779,False
862457590147678208,Twitter for iPhone,13,10,Jersey,doggo,5388,21492,False
861383897657036800,Twitter for iPhone,13,10,Hobbes,doggo,11528,37744,False
861005113778896900,Twitter for iPhone,12,10,Burt,doggo,4119,17538,False
860563773140209665,Twitter for iPhone,13,10,Lorenzo,doggo,2334,7878,False
860524505164394496,Twitter for iPhone,13,10,Carl,doggo,5698,24678,False
860276583193509888,Twitter for iPhone,12,10,Jordy,doggo,3745,19154,False
859924526012018688,Twitter for iPhone,12,10,Milky,doggo,4349,20021,False
859851578198683649,Twitter for iPhone,13,10,Trooper,doggo,3780,16105,False
858471635011153920,Twitter for iPhone,13,10,Sophie,doggo,5271,22640,False
858107933456039936,Twitter for iPhone,12,10,Wyatt,doggo,3154,16524,False
